TAXONOMIC ORDER;CATEGORY;TAXON CONCEPT ID;COMMON NAME;SCIENTIFIC NAME;SUBSPECIES SCIENTIFIC NAME;SUBSPECIES COMMON NAME
5516;species ;avibase-9106EBE6;Little Crake            ;Zapornia parva               ;;
629;hybrid  ;avibase-914FC9FE;Common Pochard x Ferrugi;Aythya ferina x nyroca       ;;
6082;species ;avibase-9151E0BA;Common Snipe            ;Gallinago gallinago          ;;
469;issf    ;avibase-9227AE60;Gadwall                 ;Mareca strepera              ;Mareca strepera strepera          ;Gadwall (Common)           
19140;species ;avibase-92A772BB;Eurasian Golden Oriole  ;Oriolus oriolus              ;;
6387;slash   ;avibase-92C54736;Slender-billed/Black-hea;Chroicocephalus genei/ridibun;;
8919;species ;avibase-939BB045;Maghreb Owl             ;Strix mauritanica            ;;
6453;species ;avibase-93CA037F;Caspian Gull            ;Larus cachinnans             ;;
2851;species ;avibase-942BC618;Spotted Sandgrouse      ;Pterocles senegallus         ;;
23564;species ;avibase-94A1C447;Bank Swallow            ;Riparia riparia              ;;
27232;species ;avibase-94A44032;European Starling       ;Sturnus vulgaris             ;;
9547;species ;avibase-9505E03D;Common Kingfisher       ;Alcedo atthis                ;;
8063;issf    ;avibase-95DD1855;Northern Goshawk        ;Accipiter gentilis           ;Accipiter gentilis [gentilis Group;Northern Goshawk (Eurasian)
24779;species ;avibase-95E7E0E5;Western Orphean Warbler ;Curruca hortensis            ;;
4101;spuh    ;avibase-96B95C61;Apus sp.                ;Apus sp.                     ;;
20529;species ;avibase-97166F72;Isabelline Shrike       ;Lanius isabellinus           ;;
7575;species ;avibase-97C47F3E;Black-winged Kite       ;Elanus caeruleus             ;;
31930;species ;avibase-9820CECA;Eurasian Siskin         ;Spinus spinus                ;;
6033;species ;avibase-9936FF4A;Little Stint            ;Calidris minuta              ;;
11726;species ;avibase-997A9437;Red-footed Falcon       ;Falco vespertinus            ;;
22066;issf    ;avibase-99A10935;Horned Lark             ;Eremophila alpestris         ;Eremophila alpestris atlas        ;Horned Lark (Atlas)        
5641;species ;avibase-99B8841E;Common Crane            ;Grus grus                    ;;
5953;species ;avibase-9A684C99;Bar-tailed Godwit       ;Limosa lapponica             ;;
8819;species ;avibase-9A7B268C;Little Owl              ;Athene noctua                ;;
32031;species ;avibase-9A87EBB0;Corn Bunting            ;Emberiza calandra            ;;
32059;species ;avibase-9AAB8C21;Cirl Bunting            ;Emberiza cirlus              ;;
6451;issf    ;avibase-9AADBEC7;Yellow-legged Gull      ;Larus michahellis            ;Larus michahellis michahellis     ;Yellow-legged Gull (michahe
21863;species ;avibase-9ADB6BA5;Thick-billed Lark       ;Ramphocoris clotbey          ;;
31036;issf    ;avibase-9CAAD123;Western Yellow Wagtail  ;Motacilla flava              ;Motacilla flava thunbergi         ;Western Yellow Wagtail (thu
11729;species ;avibase-9EA1F12D;Eleonora's Falcon       ;Falco eleonorae              ;;
29239;species ;avibase-9EE7BF1C;Mourning Wheatear       ;Oenanthe lugens              ;;
8653;species ;avibase-9FD4D3D9;Pharaoh Eagle-Owl       ;Bubo ascalaphus              ;;
7531;species ;avibase-A0A584C1;Eurasian Spoonbill      ;Platalea leucorodia          ;;
29034;species ;avibase-A0EDAEA2;Whinchat                ;Saxicola rubetra             ;;
11793;issf    ;avibase-A113792C;Peregrine Falcon        ;Falco peregrinus             ;Falco peregrinus pelegrinoides    ;Peregrine Falcon (Barbary) 
6146;spuh    ;avibase-A16D5321;Scolopacidae sp.        ;Scolopacidae sp.             ;;
11810;spuh    ;avibase-A28F0D10;falcon sp.              ;Falco sp.                    ;;
10030;spuh    ;avibase-A2E4F761;bee-eater sp.           ;Merops sp.                   ;;
5875;spuh    ;avibase-A40CC76C;small plover sp.        ;Charadrius sp.               ;;
6490;species ;avibase-A59FA446;Glaucous Gull           ;Larus hyperboreus            ;;
24722;species ;avibase-A6A4FC63;Garden Warbler          ;Sylvia borin                 ;;
23115;species ;avibase-A7275096;Western Olivaceous Warbl;Iduna opaca                  ;;
6679;spuh    ;avibase-A744B03C;tern sp.                ;Sterninae sp.                ;;
11664;issf    ;avibase-A76838A0;Eurasian Kestrel        ;Falco tinnunculus            ;Falco tinnunculus [tinnunculus Gro;Eurasian Kestrel (Eurasian)
30832;species ;avibase-A783468F;Alpine Accentor         ;Prunella collaris            ;;
22306;slash   ;avibase-A79D06E6;Thekla's/Crested Lark   ;Galerida theklae/cristata    ;;
6118;species ;avibase-A7B17EFC;Green Sandpiper         ;Tringa ochropus              ;;
27854;species ;avibase-A8A85BCF;Redwing                 ;Turdus iliacus               ;;
27835;species ;avibase-A95B43F1;Mistle Thrush           ;Turdus viscivorus            ;;
620;species ;avibase-A96692E0;Common Pochard          ;Aythya ferina                ;;
21869;species ;avibase-A977348D;Desert Lark             ;Ammomanes deserti            ;;
29188;species ;avibase-A9ADB78D;Red-rumped Wheatear     ;Oenanthe moesta              ;;
5823;species ;avibase-AA4385A2;Kentish Plover          ;Charadrius alexandrinus      ;;
24325;slash   ;avibase-AABFC5F5;Willow Warbler/Common Ch;Phylloscopus trochilus/collyb;;
7371;issf    ;avibase-AB1CB216;Cattle Egret            ;Bubulcus ibis                ;Bubulcus ibis ibis                ;Cattle Egret (Western)     
6040;species ;avibase-ACC99F35;Pectoral Sandpiper      ;Calidris melanotos           ;;
3636;slash   ;avibase-AD455318;Red-necked/Eurasian Nigh;Caprimulgus ruficollis/europa;;
20597;issf    ;avibase-AD5D8944;Great Gray Shrike       ;Lanius excubitor             ;Lanius excubitor [elegans Group]  ;Great Gray Shrike (Sahara) 
23116;slash   ;avibase-AD64B07F;Eastern/Western Olivaceo;Iduna pallida/opaca          ;;
31272;spuh    ;avibase-AD6E9B95;pipit sp.               ;Anthus sp.                   ;;
24003;issf    ;avibase-ADC1F0C9;Common Bulbul           ;Pycnonotus barbatus          ;Pycnonotus barbatus [barbatus Grou;Common Bulbul (Common)     
31028;species ;avibase-AE073221;Gray Wagtail            ;Motacilla cinerea            ;;
29152;issf    ;avibase-AE947F55;Northern Wheatear       ;Oenanthe oenanthe            ;Oenanthe oenanthe leucorhoa       ;Northern Wheatear (Greenlan
23006;species ;avibase-AEE2063F;Zitting Cisticola       ;Cisticola juncidis           ;;
26675;species ;avibase-AF700208;Eurasian Wren           ;Troglodytes troglodytes      ;;
28777;species ;avibase-AFD6FD81;Bluethroat              ;Luscinia svecica             ;;
24799;species ;avibase-B0D09483;Sardinian Warbler       ;Curruca melanocephala        ;;
27245;species ;avibase-B0D81671;Spotless Starling       ;Sturnus unicolor             ;;
24805;species ;avibase-B13D68B1;Eastern Subalpine Warble;Curruca cantillans           ;;
28197;issf    ;avibase-B142856F;Spotted Flycatcher      ;Muscicapa striata            ;Muscicapa striata [striata Group] ;Spotted Flycatcher (Spotted
31994;spuh    ;avibase-B20C6C46;finch sp.               ;Fringillidae sp.             ;;
7515;species ;avibase-B20FECE2;Northern Bald Ibis      ;Geronticus eremita           ;;
23183;species ;avibase-B283E332;Great Reed Warbler      ;Acrocephalus arundinaceus    ;;
21815;issf    ;avibase-B2A324BF;Greater Hoopoe-Lark     ;Alaemon alaudipes            ;Alaemon alaudipes [alaudipes Group;Greater Hoopoe-Lark (Mainla
2070;species ;avibase-B2D6AB06;Laughing Dove           ;Spilopelia senegalensis      ;;
10696;species ;avibase-B2E6AB9F;Eurasian Wryneck        ;Jynx torquilla               ;;
31603;species ;avibase-B345F82B;Crimson-winged Finch    ;Rhodopechys sanguineus       ;;
7167;issf    ;avibase-B38FDD3E;Great Cormorant         ;Phalacrocorax carbo          ;Phalacrocorax carbo lucidus       ;Great Cormorant (White-brea
3396;species ;avibase-B3D2C3C5;Common Cuckoo           ;Cuculus canorus              ;;
30950;species ;avibase-B4037E8F;Desert Sparrow          ;Passer simplex               ;;
7160;form    ;avibase-B57FBCFE;Great Cormorant         ;Phalacrocorax carbo          ;Phalacrocorax carbo carbo/sinensis;Great Cormorant (Dark-breas
5985;species ;avibase-B5CE8FAD;Red Knot                ;Calidris canutus             ;;
23150;species ;avibase-B675E006;Marsh Warbler           ;Acrocephalus palustris       ;;
5405;species ;avibase-B682B2A9;Eurasian Coot           ;Fulica atra                  ;;
5438;species ;avibase-B6838E0C;Western Swamphen        ;Porphyrio porphyrio          ;;
23576;spuh    ;avibase-B687ACB6;Riparia sp.             ;Riparia sp.                  ;;
28337;species ;avibase-B68BD0D2;Rufous-tailed Scrub-Robi;Cercotrichas galactotes      ;;
24324;issf    ;avibase-B7173913;Common Chiffchaff       ;Phylloscopus collybita       ;Phylloscopus collybita tristis    ;Common Chiffchaff (Siberian
8286;issf    ;avibase-B725BDE4;Long-legged Buzzard     ;Buteo rufinus                ;Buteo rufinus cirtensis           ;Long-legged Buzzard (Atlas)
24330;slash   ;avibase-B78765A2;Willow Warbler/Common Ch;Phylloscopus trochilus/collyb;;
21121;species ;avibase-B9B272F4;Common Raven            ;Corvus corax                 ;;
6356;issf    ;avibase-BA11E873;Black-legged Kittiwake  ;Rissa tridactyla             ;Rissa tridactyla tridactyla       ;Black-legged Kittiwake (tri
23110;species ;avibase-BAE527A2;Eastern Olivaceous Warbl;Iduna pallida                ;;
8968;issf    ;avibase-BAF2C71C;Long-eared Owl          ;Asio otus                    ;Asio otus otus/canariensis        ;Long-eared Owl (Eurasian)  
6266;species ;avibase-BB041C6E;Great Skua              ;Stercorarius skua            ;;
26319;issf    ;avibase-BB8E23AC;Eurasian Nuthatch       ;Sitta europaea               ;Sitta europaea [europaea Group]   ;Eurasian Nuthatch (Western)
1856;species ;avibase-BBA263C2;Rock Pigeon             ;Columba livia                ;;
6598;species ;avibase-BC06BC0D;Caspian Tern            ;Hydroprogne caspia           ;;
23280;species ;avibase-BC0E4C9F;Common Grasshopper Warbl;Locustella naevia            ;;
24270;species ;avibase-BC391A83;Hume's Warbler          ;Phylloscopus humei           ;;
7166;issf    ;avibase-BC4B170B;Great Cormorant         ;Phalacrocorax carbo          ;Phalacrocorax carbo maroccanus    ;Great Cormorant (Moroccan) 
563;species ;avibase-BC6C3CCE;Green-winged Teal       ;Anas crecca                  ;;
605;spuh    ;avibase-BD7161A9;dabbling duck sp.       ;Anatidae sp. (dabbling duck s;;
22190;slash   ;avibase-BDBC39C0;Greater Short-toed Lark/;Calandrella brachydactyla/Ala;;
22149;species ;avibase-BDC24A8A;Calandra Lark           ;Melanocorypha calandra       ;;
6630;species ;avibase-BDC5CF80;Arctic Tern             ;Sterna paradisaea            ;;
21621;species ;avibase-BE2B80F4;African Blue Tit        ;Cyanistes teneriffae         ;;
11662;species ;avibase-BECA271F;Lesser Kestrel          ;Falco naumanni               ;;
24815;species ;avibase-BFECF5F8;Spectacled Warbler      ;Curruca conspicillata        ;;
24259;species ;avibase-C00674ED;Western Bonelli's Warble;Phylloscopus bonelli         ;;
5950;slash   ;avibase-C06D1FF2;Whimbrel/Eurasian Curlew;Numenius phaeopus/arquata    ;;
31037;form    ;avibase-C0876FE9;Western Yellow Wagtail  ;Motacilla flava              ;Motacilla flava flava/beema       ;Western Yellow Wagtail (fla
32132;species ;avibase-C0B97874;Reed Bunting            ;Emberiza schoeniclus         ;;
27246;slash   ;avibase-C0D02034;European/Spotless Starli;Sturnus vulgaris/unicolor    ;;
8087;issf    ;avibase-C1C255AA;Black Kite              ;Milvus migrans               ;Milvus migrans [migrans Group]    ;Black Kite (Black)         
468;species ;avibase-C235A4D7;Gadwall                 ;Mareca strepera              ;;
7881;spuh    ;avibase-C235C72D;harrier sp.             ;Circus sp.                   ;;
8287;hybrid  ;avibase-C2CEF2A6;Common x Long-legged Buz;Buteo buteo x rufinus        ;;
31908;species ;avibase-C3227709;European Serin          ;Serinus serinus              ;;
23186;slash   ;avibase-C3EBC9BE;Common/Great Reed Warble;Acrocephalus scirpaceus/arund;;
5703;species ;avibase-C73ED2F5;Pied Avocet             ;Recurvirostra avosetta       ;;
32114;species ;avibase-C7C1A6EB;House Bunting           ;Emberiza sahari              ;;
5663;species ;avibase-C7DB323E;Eurasian Thick-knee     ;Burhinus oedicnemus          ;;
28624;species ;avibase-C809B2B9;European Robin          ;Erithacus rubecula           ;;
8078;spuh    ;avibase-CA08045E;Accipiter sp.           ;Accipiter sp.                ;;
6974;issf    ;avibase-CA4D268D;Cory's Shearwater       ;Calonectris diomedea         ;Calonectris diomedea diomedea     ;Cory's Shearwater (Scopoli'
29225;species ;avibase-CAFA98EE;White-crowned Wheatear  ;Oenanthe leucopyga           ;;
1659;species ;avibase-CAFE345D;Common Quail            ;Coturnix coturnix            ;;
29171;species ;avibase-CBB94183;Western Black-eared Whea;Oenanthe hispanica           ;;
8284;species ;avibase-CC65921F;Long-legged Buzzard     ;Buteo rufinus                ;;
28933;species ;avibase-CD1B2156;Atlas Flycatcher        ;Ficedula speculigera         ;;
28149;species ;avibase-CE71B4FF;Ring Ouzel              ;Turdus torquatus             ;;
7375;species ;avibase-CE73EBD7;Squacco Heron           ;Ardeola ralloides            ;;
7182;species ;avibase-CECC7B26;European Shag           ;Gulosus aristotelis          ;;
28968;spuh    ;avibase-CF292C9B;Ficedula sp.            ;Ficedula sp.                 ;;
6673;species ;avibase-CF8461BF;West African Crested Ter;Thalasseus albididorsalis    ;;
35132;spuh    ;avibase-CFD25837;passerine sp.           ;Passeriformes sp.            ;;
6668;species ;avibase-D01CDECD;Lesser Crested Tern     ;Thalasseus bengalensis       ;;
20857;issf    ;avibase-D142BFD7;Eurasian Jay            ;Garrulus glandarius          ;Garrulus glandarius [cervicalis Gr;Eurasian Jay (Black-crowned
24789;species ;avibase-D1EF4402;Tristram's Warbler      ;Curruca deserticola          ;;
4082;species ;avibase-D209A90C;Little Swift            ;Apus affinis                 ;;
23552;issf    ;avibase-D2854489;Plain Martin            ;Riparia paludicola           ;Riparia paludicola [paludicola Gro;Plain Martin (African)     
2831;spuh    ;avibase-D3FDB845;pigeon/dove sp.         ;Columbidae sp.               ;;
1670;species ;avibase-D44B2846;Barbary Partridge       ;Alectoris barbara            ;;
7479;species ;avibase-D4540F88;Glossy Ibis             ;Plegadis falcinellus         ;;
21010;species ;avibase-D4C32F8E;Eurasian Jackdaw        ;Corvus monedula              ;;
6249;species ;avibase-D56ABB4E;Collared Pratincole     ;Glareola pratincola          ;;
28988;issf    ;avibase-D58EA23C;Black Redstart          ;Phoenicurus ochruros         ;Phoenicurus ochruros gibraltariens;Black Redstart (Western)   
24787;species ;avibase-D5AEADF4;African Desert Warbler  ;Curruca deserti              ;;
6137;species ;avibase-D6BFC73A;Common Redshank         ;Tringa totanus               ;;
11037;issf    ;avibase-D6D9E765;Great Spotted Woodpecker;Dendrocopos major            ;Dendrocopos major numidus/mauritan;Great Spotted Woodpecker (A
6464;issf    ;avibase-D7148946;Iceland Gull            ;Larus glaucoides             ;Larus glaucoides glaucoides       ;Iceland Gull (glaucoides)  
11033;species ;avibase-D754DB85;Great Spotted Woodpecker;Dendrocopos major            ;;
738;spuh    ;avibase-D7BF5045;duck sp.                ;Anatidae (duck sp.)          ;;
1741;species ;avibase-D8267ADE;Double-spurred Spurfowl ;Pternistis bicalcaratus      ;;
20835;species ;avibase-D8D10F2C;Eurasian Jay            ;Garrulus glandarius          ;;
8820;issf    ;avibase-D905B20D;Little Owl              ;Athene noctua                ;Athene noctua [noctua Group]      ;Little Owl (Little)        
7374;spuh    ;avibase-D916AABA;white egret sp.         ;Ardea/Egretta/Bubulcus sp.   ;;
27839;species ;avibase-D929EB21;Song Thrush             ;Turdus philomelos            ;;
20592;species ;avibase-DB2501EE;Great Gray Shrike       ;Lanius excubitor             ;;
8020;species ;avibase-DB376A66;Eurasian Sparrowhawk    ;Accipiter nisus              ;;
4052;slash   ;avibase-DBACF9F8;Common/Pallid Swift     ;Apus apus/pallidus           ;;
31220;slash   ;avibase-DBDDA747;Meadow/Water Pipit      ;Anthus pratensis/spinoletta  ;;
5976;species ;avibase-DC3050A9;Ruddy Turnstone         ;Arenaria interpres           ;;
6472;issf    ;avibase-DC679FC7;Lesser Black-backed Gull;Larus fuscus                 ;Larus fuscus graellsii            ;Lesser Black-backed Gull (g
23126;species ;avibase-DCDD1BCA;Melodious Warbler       ;Hippolais polyglotta         ;;
6217;species ;avibase-DE0A72A7;Cream-colored Courser   ;Cursorius cursor             ;;
5224;species ;avibase-DE1D2DF4;Water Rail              ;Rallus aquaticus             ;;
29151;species ;avibase-DF526047;Northern Wheatear       ;Oenanthe oenanthe            ;;
5954;issf    ;avibase-E0093565;Bar-tailed Godwit       ;Limosa lapponica             ;Limosa lapponica [lapponica Group];Bar-tailed Godwit (European
6449;species ;avibase-E074D706;Yellow-legged Gull      ;Larus michahellis            ;;
23133;species ;avibase-E1559C49;Moustached Warbler      ;Acrocephalus melanopogon     ;;
21672;species ;avibase-E15BC0CB;Great Tit               ;Parus major                  ;;
6826;species ;avibase-E1638A37;European Storm-Petrel   ;Hydrobates pelagicus         ;;
31315;species ;avibase-E16B2C03;Brambling               ;Fringilla montifringilla     ;;
7053;species ;avibase-E2817DAE;Black Stork             ;Ciconia nigra                ;;
7857;species ;avibase-E2A19474;Eurasian Marsh-Harrier  ;Circus aeruginosus           ;;
8263;issf    ;avibase-E34D8FF3;Common Buzzard          ;Buteo buteo                  ;Buteo buteo buteo                 ;Common Buzzard (Western)   
6016;issf    ;avibase-E3D21BA1;Dunlin                  ;Calidris alpina              ;Calidris alpina schinzii          ;Dunlin (schinzii)          
6601;issf    ;avibase-E3F37B3A;Black Tern              ;Chlidonias niger             ;Chlidonias niger niger            ;Black Tern (Eurasian)      
28338;issf    ;avibase-E4672C85;Rufous-tailed Scrub-Robi;Cercotrichas galactotes      ;Cercotrichas galactotes [galactote;Rufous-tailed Scrub-Robin (
23729;species ;avibase-E4BB82F5;Common House-Martin     ;Delichon urbicum             ;;
29164;species ;avibase-E6C6F746;Isabelline Wheatear     ;Oenanthe isabellina          ;;
24825;spuh    ;avibase-E6F5DF1B;Sylvia/Curruca sp.      ;Sylvia/Curruca sp.           ;;
22161;species ;avibase-E75ECF62;Dunn's Lark             ;Eremalauda dunni             ;;
31039;issf    ;avibase-E7634E0C;Western Yellow Wagtail  ;Motacilla flava              ;Motacilla flava beema             ;Western Yellow Wagtail (bee
6499;species ;avibase-E826E9F3;Great Black-backed Gull ;Larus marinus                ;;
1857;form    ;avibase-E8574CAB;Rock Pigeon             ;Columba livia                ;Columba livia (Wild type)         ;Rock Pigeon (Wild type)    
30907;hybrid  ;avibase-E8B4B391;House x Spanish Sparrow ;Passer domesticus x hispaniol;;
31042;issf    ;avibase-E8B6C2D9;Western Yellow Wagtail  ;Motacilla flava              ;Motacilla flava cinereocapilla    ;Western Yellow Wagtail (cin
6510;spuh    ;avibase-E8FAD0BB;Larus sp.               ;Larus sp.                    ;;
11742;species ;avibase-E91E287A;Eurasian Hobby          ;Falco subbuteo               ;;
8297;spuh    ;avibase-E91E7830;Buteo sp.               ;Buteo sp.                    ;;
11788;issf    ;avibase-E9566F8E;Peregrine Falcon        ;Falco peregrinus             ;Falco peregrinus [peregrinus Group;Peregrine Falcon (Eurasian)
6805;species ;avibase-E9DF118E;White-faced Storm-Petrel;Pelagodroma marina           ;;
31604;issf    ;avibase-EAF23C54;Crimson-winged Finch    ;Rhodopechys sanguineus       ;Rhodopechys sanguineus alienus    ;Crimson-winged Finch (Afric
22216;species ;avibase-ED2AC04E;Eurasian Skylark        ;Alauda arvensis              ;;
464;species ;avibase-ED4CE8E7;Northern Shoveler       ;Spatula clypeata             ;;
7608;species ;avibase-ED5A7E8F;European Honey-buzzard  ;Pernis apivorus              ;;
5712;species ;avibase-ED663165;Eurasian Oystercatcher  ;Haematopus ostralegus        ;;
5840;species ;avibase-EDA37B7C;Common Ringed Plover    ;Charadrius hiaticula         ;;
28196;species ;avibase-EE8206E7;Spotted Flycatcher      ;Muscicapa striata            ;;
11605;spuh    ;avibase-EF4617E8;woodpecker sp.          ;Picidae sp.                  ;;
21131;spuh    ;avibase-F00CC288;crow/raven sp.          ;Corvus sp.                   ;;
5749;species ;avibase-F029489A;Northern Lapwing        ;Vanellus vanellus            ;;
23007;issf    ;avibase-F10D566F;Zitting Cisticola       ;Cisticola juncidis           ;Cisticola juncidis [juncidis Group;Zitting Cisticola (Western)
